file_path,word,annotid,transcription
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x032f73,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x510d8c,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,birdie,0x4ad396,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,birdie,0xd9cb48,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,car,0x482865,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,doggy+doggy,0x38c319,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,doggy+doggy,0x67ef19,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,doggy+doggy,0x04c6e4,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,doggy,0xf63b0a,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,doggy,0x17be05,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,doggies,0x37d976,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,doggy+do,0x01304d,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,star,0x77d3d7,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,little+star,0x21adea,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,star,0x4bdd1a,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,star,0xe8e0d9,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,star,0x7ba615,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,star,0x7eeded,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,star,0x914e3c,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,Katerina,0xccaaad,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,Katerina,0xf71982,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,Daniel+tiger,0x2cae4e,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,tiger,0x79467b,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,tiger,0x0c4a95,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,sweater,0x1aac44,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,sweater,0xefddf6,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,pillow,0xfce017,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,tiger,0xdb1e95,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,ear,0x900448,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,puddle,0xd2698c,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,puddle,0x835637,###
